original_url,source_website,resolution,search_query,local_path,short_caption
https://bqn.1cdn.vn/2017/03/09/images.baoquangnam.vn-dataimages-201703-original-_images1333213_mong_dung..jpg,Báo Quảng Nam,550x361,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_56063717.jpg,
https://thanhphohaiphong.gov.vn/wp-content/uploads/2025/01/c72a66e4-1df6-45a4-bf6b-1d094ff12c01-thi-c-21.jpg,Cổng tin tức thành phố Hải Phòng,1256x878,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_5399b3ce.jpg,
http://thitruongtudo.vn/upload/01_bai_viet/k21070.1.jpg,404 Not Found,680x360,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_65ec70d9.jpg,
https://luhanhvietnam.com.vn/du-lich/vnt_upload/news/05_2023/tra-da-via-he-ha-noi-binh-di_.jpg,Luhanhvietnam,700x875,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_08d487c1.jpg,
https://img.giaoduc.net.vn/w1000/Uploaded/2025/aoboplu/2012_12_14/quan-via-he-giaoduc.net%20(1).jpeg,Giaoduc.net,500x373,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_48fc954c.jpeg,
https://media-cdn-v2.laodong.vn/Storage/NewsPortal/2023/3/16/1158229/Vach-Ke-Duong-12-8.jpg,Báo Lao động,1960x1307,lối sang đường dành cho người đi bộ,./images\lối_sang_đường_dành_cho_người_đi_bộ_86bcb02e.jpg,
http://baoholaodong247.eportal.vn/Portals/26918/423b.jpg,baoholaodong247.com,348x348,lối sang đường dành cho người đi bộ,./images\lối_sang_đường_dành_cho_người_đi_bộ_91aa6c28.jpg,
https://everest.org.vn/upload_images/images/2023/11/03/vach-ke-duong-cho-nguoi-di-bo-03.png,Công ty luật TNHH Everest,800x450,lối sang đường dành cho người đi bộ,./images\lối_sang_đường_dành_cho_người_đi_bộ_5abe14ab.png,
https://cdn.thuvienphapluat.vn/uploads/tintuc/2023/11/09/nguoi-di-bo-qua-duong-2.jpg,Thư Viện Pháp Luật,1000x562,lối sang đường dành cho người đi bộ,./images\lối_sang_đường_dành_cho_người_đi_bộ_51462d56.jpg,
https://cdn.thuvienphapluat.vn/uploads/phapluat/2022-2/PTTQ/21032024/vach-ke-duong-ng-di-bo.jpg,Thư Viện Pháp Luật,600x400,lối sang đường dành cho người đi bộ,./images\lối_sang_đường_dành_cho_người_đi_bộ_7a63f9eb.jpg,
http://baoholaodong247.com/DesktopModules/Store/Thumbnail.aspx?IP=/Portals/26918/305.jpg&IW=892,baoholaodong247.com,348x289,lối sang đường dành cho người đi bộ,./images\lối_sang_đường_dành_cho_người_đi_bộ_027769ae.aspx,
https://congtyquynhnga.com/upload/images/Bien-bao-danh-cho-nguoi-di-bo-sang-ngang1.jpg,Công ty Quỳnh Nga,800x600,lối sang đường dành cho người đi bộ,./images\lối_sang_đường_dành_cho_người_đi_bộ_7b9341c1.jpg,
https://thanhnien.mediacdn.vn/Uploaded/maiha/2022_01_14/nguoi-di-bo-afp-5495.jpg,Báo Thanh Niên,1200x800,lối sang đường dành cho người đi bộ,./images\lối_sang_đường_dành_cho_người_đi_bộ_31f41f9f.jpg,
https://cdn.thuvienphapluat.vn/uploads/tintuc/2023/11/09/nguoi-di-bo-qua-duong.jpg,Thư Viện Pháp Luật,2062x1269,lối sang đường dành cho người đi bộ,./images\lối_sang_đường_dành_cho_người_đi_bộ_caeb3bf2.jpg,
https://giadinh.mediacdn.vn/296230595582509056/2021/10/29/vach-sang-duong-4-16354791949141489568641.jpg,Gia đình,1200x800,lối sang đường dành cho người đi bộ,./images\lối_sang_đường_dành_cho_người_đi_bộ_e62ca662.jpg,
https://cdn.tuoitre.vn/zoom/700_390/471584752817336320/2023/11/10/duongleloi-q1-dukhach4-2050570-2read-only-1699630063251396177997-139-0-1186-2000-crop-1699630908614941602615.jpg,Báo Tuổi Trẻ,700x390,lối sang đường dành cho người đi bộ,./images\lối_sang_đường_dành_cho_người_đi_bộ_efa52aa8.jpg,
https://media-cdn-v2.laodong.vn/Storage/NewsPortal/2023/3/16/1158229/Vach-Ke-Duong-12-6.jpg,Báo Lao động,1960x1148,lối sang đường dành cho người đi bộ,./images\lối_sang_đường_dành_cho_người_đi_bộ_ca7c5776.jpg,
https://cdn.tuoitre.vn/thumb_w/480/471584752817336320/2025/1/13/base64-1736759518587584043821.jpeg,Báo Tuổi Trẻ,480x320,lối sang đường dành cho người đi bộ,./images\lối_sang_đường_dành_cho_người_đi_bộ_94b68d9b.jpeg,
https://cdnmedia.baotintuc.vn/Upload/YZmStSDTjb0M07hFJ2gA/files/2021/08/27/nhat-ban-300821.jpeg,baotintuc.vn,1600x1082,lối sang đường dành cho người đi bộ,./images\lối_sang_đường_dành_cho_người_đi_bộ_c041658a.jpeg,
